,locID,lat,lon,data
0,1156874,36.69,-76.66,122569.53943145089
1,1113811,39.01,-78.02,115514.13029567503
2,1009148,36.81,-82.54,117341.79361591424
3,1055484,36.69,-80.38,120422.48187463089
4,1058204,37.65,-80.26,114359.371074319
5,1137767,37.17,-77.26,121084.44529096983
6,1191630,37.65,-75.62,121300.7114546991
7,1137138,38.61,-77.3,116583.86230787548
8,1162065,36.73,-76.5,120992.61807363914
9,1089794,37.65,-78.94,121941.10046363581
10,1013866,36.81,-82.3,119101.77176253866
11,1010407,37.17,-82.46,115634.8488523198
12,1150451,37.05,-76.86,121603.75821525975
13,1098860,37.69,-78.58,121469.83054220176
14,1068107,37.77,-79.86,116591.25797065313
15,1055695,36.61,-80.38,119110.44593689605
16,1178138,37.21,-76.02,121776.42607803718
17,1090598,38.41,-78.9,118901.71919677044
18,1044253,36.97,-80.9,119113.91276948432
19,1117419,37.01,-77.9,122190.12918422262
20,1114238,38.01,-78.02,119580.89077408203
21,1123798,38.17,-77.7,118838.96197803065
22,1150864,37.49,-76.86,120351.0153048717
23,1100960,37.49,-78.5,121223.60880440578
24,1085165,38.21,-79.14,120689.58436320517
25,1119947,37.81,-77.82,120379.68225885778
26,1054263,37.13,-80.46,120217.14598510027
27,1115010,37.97,-77.98,119486.67608406195
28,1120006,36.77,-77.82,122819.08843769967
29,1101630,38.97,-78.46,114775.96682579354
30,1056852,36.85,-80.34,121945.17830160494
31,1094833,37.69,-78.74,121550.90118667544
32,1070624,38.25,-79.74,116253.11747762946
33,1136856,38.73,-77.3,116977.69809206181
34,1159683,36.73,-76.58,122028.73497841049
35,1176442,37.17,-76.1,121193.77249178576
36,1026030,36.77,-81.7,119959.60717303368
37,1112545,36.61,-78.06,124578.48420389179
38,1176697,37.57,-76.06,121793.14622994684
39,1081087,36.93,-79.3,123132.66685904741
40,1111684,38.13,-78.1,119355.5814959957
41,1130185,38.21,-77.5,117999.53917082447
42,1111478,37.69,-78.1,120896.27139827359
43,1116726,37.01,-77.94,122066.54693269027
44,1060000,36.89,-80.18,120442.12125160481
45,1057857,36.57,-80.3,122176.36302420344
46,1102192,37.81,-78.46,120393.06750748931
47,1057828,36.81,-80.3,119958.94294495956
48,1126246,37.29,-77.62,121866.7283562815
49,1076514,37.17,-79.5,122310.00723054081
50,1136470,36.85,-77.3,121340.67080440531
51,1163385,37.97,-76.46,119797.19156950439
52,1114333,38.17,-78.02,118639.74090503411
53,1092268,37.81,-78.82,120262.01507424905
54,1133682,38.17,-77.38,117919.39015466935
55,1155024,37.73,-76.74,120054.79489921036
56,1183416,37.89,-75.86,120006.28254744918
57,1183387,37.49,-75.86,122691.5970221104
58,1099374,37.05,-78.54,123896.25695049198
59,1169315,37.73,-76.3,120651.40432480129
60,1047707,37.33,-80.74,114650.45289995079
