,locID,lat,lon,data
0,1156874,36.69,-76.66,3143042.0
1,1113811,39.01,-78.02,2983288.0
2,1009148,36.81,-82.54,2999217.0
3,1055484,36.69,-80.38,3076519.0
4,1058204,37.65,-80.26,2947395.0
5,1137767,37.17,-77.26,3109828.0
6,1191630,37.65,-75.62,3118130.0
7,1137138,38.61,-77.3,3003648.0
8,1162065,36.73,-76.5,3098845.0
9,1089794,37.65,-78.94,3136792.0
10,1013866,36.81,-82.3,3047271.0
11,1010407,37.17,-82.46,2965225.0
12,1150451,37.05,-76.86,3118397.0
13,1098860,37.69,-78.58,3124064.0
14,1068107,37.77,-79.86,3004488.0
15,1055695,36.61,-80.38,3043975.0
16,1178138,37.21,-76.02,3127450.0
17,1090598,38.41,-78.9,3062336.0
18,1044253,36.97,-80.9,3050377.0
19,1117419,37.01,-77.9,3145673.0
20,1114238,38.01,-78.02,3078514.0
21,1123798,38.17,-77.7,3059249.0
22,1150864,37.49,-76.86,3092009.0
23,1100960,37.49,-78.5,3119732.0
24,1085165,38.21,-79.14,3104374.0
25,1119947,37.81,-77.82,3097374.0
26,1054263,37.13,-80.46,3085424.0
27,1115010,37.97,-77.98,3075281.0
28,1120006,36.77,-77.82,3159928.0
29,1101630,38.97,-78.46,2962889.0
30,1056852,36.85,-80.34,3122710.0
31,1094833,37.69,-78.74,3127215.0
32,1070624,38.25,-79.74,2996082.0
33,1136856,38.73,-77.3,3016706.0
34,1159683,36.73,-76.58,3127281.0
35,1176442,37.17,-76.1,3112638.0
36,1026030,36.77,-81.7,3071160.0
37,1112545,36.61,-78.06,3202538.0
38,1176697,37.57,-76.06,3135313.0
39,1081087,36.93,-79.3,3163693.0
40,1111684,38.13,-78.1,3072137.0
41,1130185,38.21,-77.5,3034128.0
42,1111478,37.69,-78.1,3112591.0
43,1116726,37.01,-77.94,3142173.0
44,1060000,36.89,-80.18,3082275.0
45,1057857,36.57,-80.3,3123825.0
46,1102192,37.81,-78.46,3096881.0
47,1057828,36.81,-80.3,3066896.0
48,1126246,37.29,-77.62,3131698.0
49,1076514,37.17,-79.5,3140011.0
50,1136470,36.85,-77.3,3117707.0
51,1163385,37.97,-76.46,3081754.0
52,1114333,38.17,-78.02,3050614.0
53,1092268,37.81,-78.82,3092928.0
54,1133682,38.17,-77.38,3032645.0
55,1155024,37.73,-76.74,3084780.0
56,1183416,37.89,-75.86,3090252.0
57,1183387,37.49,-75.86,3156068.0
58,1099374,37.05,-78.54,3188369.0
59,1169315,37.73,-76.3,3102231.0
60,1047707,37.33,-80.74,2946912.0
61,1139764,36.85,-77.22,3131629.0
62,991596,36.65,-83.38,2986215.0
63,1181423,37.41,-75.94,3159388.0
64,1066325,36.81,-79.94,3127947.0
65,1096075,37.13,-78.7,3182349.0
66,1113777,37.73,-78.02,3076370.0
67,1091027,37.05,-78.9,3178746.0
68,1035024,37.21,-81.3,2956211.0
69,1088905,36.97,-78.98,3182468.0
70,1083637,36.57,-79.18,3174701.0
71,1109759,38.77,-78.18,3018001.0
72,1061244,36.93,-80.14,3098463.0
73,1074512,37.17,-79.58,3141467.0
74,1051553,37.25,-80.58,2999805.0
75,1142022,37.37,-77.14,3121491.0
76,1160210,36.93,-76.58,3125961.0
77,1007501,36.73,-82.62,3054136.0
78,1081121,38.29,-79.3,3029551.0
79,1118709,37.69,-77.86,3113923.0
80,1102457,36.81,-78.42,3200686.0
81,1116761,38.33,-77.94,3053673.0
82,1155642,37.01,-76.7,3131612.0
83,1083105,38.37,-79.22,3017599.0
84,1065237,37.01,-79.98,3124523.0
85,1082058,38.01,-79.26,3141475.0
86,1066415,38.05,-79.94,2988584.0
87,1109494,37.45,-78.18,3116235.0
88,1070320,37.33,-79.74,3125465.0
89,1061466,37.57,-80.14,2963721.0
90,1088830,38.61,-78.98,2977831.0
91,1063464,36.81,-80.06,3085138.0
92,1044719,37.05,-80.86,2962324.0
93,1115571,36.85,-77.98,3148879.0
94,1126229,37.57,-77.62,3080550.0
95,1074938,37.49,-79.58,3123302.0
96,1094591,38.53,-78.74,3036929.0
97,1075667,37.45,-79.54,3080114.0
98,1027876,36.73,-81.62,2987142.0
99,1108376,38.21,-78.22,3087310.0
100,1109547,36.85,-78.18,3187885.0
101,1067974,37.89,-79.86,3004726.0
102,1172493,36.97,-76.18,3079945.0
103,994900,36.65,-83.22,3030333.0
104,1157123,36.77,-76.66,3163037.0
105,1095879,37.09,-78.7,3185012.0
106,1107900,37.17,-78.22,3178491.0
107,1180367,37.25,-75.98,3171626.0
108,1128217,38.29,-77.58,3047054.0
109,1060523,36.69,-80.18,3070568.0
110,1160007,38.09,-76.58,3063495.0
111,1121610,38.37,-77.78,3050680.0
112,1132709,37.37,-77.42,3111405.0
113,1121568,39.17,-77.78,2973116.0
114,1149297,38.17,-76.9,3037063.0
115,1091569,38.29,-78.86,3110865.0
116,1107323,39.05,-78.26,2953169.0
117,1168094,37.65,-76.34,3120520.0
118,1017594,36.73,-82.14,3042075.0
119,1126676,37.61,-77.62,3086284.0
120,1130733,37.45,-77.5,3107408.0
121,1081174,38.09,-79.3,3097862.0
122,1100615,38.17,-78.5,3025163.0
123,1137035,37.33,-77.3,3084039.0
124,1170775,36.57,-76.26,3140450.0
125,1111405,37.93,-78.1,3070250.0
126,1142741,38.01,-77.1,3036533.0
127,1175058,37.49,-76.14,3116961.0
128,1096235,36.61,-78.66,3199583.0
129,1136687,36.57,-77.3,3197539.0
130,1066859,37.37,-79.9,3057531.0
131,1182377,37.25,-75.9,3101180.0
132,1087227,38.49,-79.02,3001047.0
133,1096582,37.69,-78.66,3096571.0
134,1033053,37.17,-81.38,2958468.0
135,1027262,36.93,-81.66,2977130.0
136,1200845,37.89,-75.34,3119553.0
137,1068659,36.89,-79.82,3133222.0
