county,cost
Commonwealth of Virginia,14500
Accomack County,15400
Albemarle County,14250
Alleghany County,No Estimate
Alexandria City,14700
Amelia County,14500
Amherst County,14650
Appamattox County,14900
Arlington County,14250
Augusta County,14750
Bath County,14800
Bedford City,15700
Bedford County,14800
Bland County,15950
Botetourt County,14900
Bristol City,15300
Brunswick County,15650
Buchanan County,15900
Buckingham County,14650
Buena Vista City,14400
Campbell County,15050
Caroline County,14200
Carroll County,16250
Charles City County,14200
Charlotte County,15850
Charlottesville City,14450
Chesapeake City,14900
Chesterfield County,14550
Clarke County,14300
Colonial Heights City ,14500
Covington City,15200
Craig County,No Estimate
Culpeper County,14250
Cumberland County,14600
Danville City,15150
Dickenson County,No Estimate
Dinwiddie County,14500
Emporia City,No Estimate
Essex County,14250
Fairfax City,14000
Fairfax County,13950
Falls Church City,14100
Fauquier County,13950
Floyd County,15450
Fluvanna County,14200
Franklin City,14700
Franklin County,15100
Frederick County,14200
Fredericksburg City,14600
Galax City,15800
Giles County,15500
Gloucester County,14450
Goochland County,14350
Grayson County,No Estimate
Greene County,14400
Greensville County,No Estimate
Halifax County,14900
Hampton City,15250
Hanover County,14250
Harrisonburg City,14500
Henrico County,14650
Henry County,15250
Highland County,15350
Hopewell City,14500
Isle of Wight County,14800
James City County,14600
King and Queen County,14850
King George County,14200
King William County,14650
Lancaster County,14600
Lee County,16050
Lexington City,14900
Loudoun County,14100
Louisa County,14250
Lunenburg County,15200
Lynchburg City,15150
Madison County,14350
Manassas City,14450
Manassas Park City,14600
Martinsville City,15150
Mathews County,14800
Mecklenburg County,15050
Middlesex County,14700
Montgomery County,15250
Nelson County,14900
New Kent County,14550
Newport News City,14950
Norfolk City,15250
Northhampton County,15300
Northumberland County,15000
Norton City,No Estimate
Nottoway County,14800
Orange County,14350
Page County,14350
Patrick County,15100
Petersburg City,14700
Pittsylvania County,14800
Poquoson City,14750
Portsmouth City,15200
Powhatan County,14450
Prince Edward County,14700
Prince George County,14750
Prince William County,14550
Pulaski County,15350
Radford City,15100
Rappahanncok County,14350
Richmond City,15050
Richmond County,14400
Roanoke City,15450
Roanoke County,15150
Rockbridge County,14700
Rockingham County,14650
Russell County,15250
Salem City,15050
Scott County,15050
Shenandoah County,14750
Smyth County,15350
Southampton County,14850
Spotsylvania County,14200
Stafford County,14150
Staunton City,14700
Suffolk City,14950
Surry County,14950
Sussex County,14700
Tazewell County,15050
Virginia Beach City,15000
Warren County,14350
Washington County,15500
Wanesboro City,14850
Westmoreland County,14300
Willaimsburg City,No Estimate
Winchester City,14700
Wise County,15350
Wythe County,15550
York County,14650
